"사업번호","자치구","법정동","사업구분","운영구분","추진위원회/조합명","대표지번","진행단계","상태","토지등 소유자 수","정비구역명칭","정비구역위치","정비구역면적(㎡)","건축연면적(㎡)","용도지역","용도지구","택지면적(㎡)","도로면적(㎡)","공원면적(㎡)","녹지면적(㎡)","공공공지면적(㎡)","학교면적(㎡)","기타면적(㎡)","주용도","건폐율","용적률","높이(m)","지상층수","지하층수","분양세대총수","60㎡이하","60㎡초과~85㎡이하","85㎡초과","임대세대총수","(임대)40㎡이하","(임대)40㎡초과~50㎡이하","(임대)50㎡초과","건축계획비고","위치도","조감도","배치도","조합사무실 주소","조합사무실 전화번호"
"11710-900000873","송파구","가락동","지역주택","조합","(가칭)가락2지역주택조합","가락동 32","조합설립인가","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11710-900000872","송파구","가락동","지역주택","조합","(가칭)가락1지역주택조합","가락동 39","조합설립인가","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11290-900001179","성북구","종암동","가로주택정비","조합","종암동 3-745일대 가로주택정비사업조합","종암동 3-745","조합설립인가","운영","31","종암동 3-745일대 가로주택정비사업","성북구 종암동 3-745","2082.00","7096.27","제2종일반주거지역(7층이하)","","1980.77","101.23","","","","","","공동주택","47.54","241.61","23","7","2","58","58","","","0","","","","","/servlet/image?url=images/assc/2024/05/202405141422091715664129678.png","/servlet/image?url=images/assc/2024/05/202405141415141715663714151.jpg","/servlet/image?url=images/assc/2024/09/202409121147021726109222379.jpg","서울특별시 성북구 월곡로 56, 1층 (종암동, 엘리시움)","02-6368-3745"
"11410-900001178","서대문구","홍은동","재개발(도시정비형)","조합","홍은1구역 공공재개발사업","홍은동 48-163","사업시행인가","운영","0","홍은1구역 공공재개발사업","서대문구 홍은동 48-163","11571.00","59481.89","제2종일반주거지역 제2종일반주거지역(7층) 제3종일반주거지역 준주거지역","","8532.50","3038.50","","","","","","공동주택 판매시설 공공시설 등","59.80","449.79","110","34","3","219","73","82","64","110","30","","80","","","/servlet/image?url=images/assc/2024/08/202408141745111723625111767.jpg","/servlet/image?url=images/assc/2024/08/202408141745151723625115344.jpg","서울특별시 서대문구 세검정로1길 34-4, 1층 홍은1구역 주민대표회의 사무소 (홍은동)","02-379-0022"
"11470-900001147","양천구","신정동","재개발(주택정비형)","조합","신정동 1152번지 일대 주택정비형 재개발사업","신정동 1152-1","조합설립인가","운영","0","신정동 1152번지 일대 주택정비형 재개발사업","양천구 신정동 1152-1","44082.80","","제1종일반주거지역 / 제2종일반주거(7층이하)지역","해당없음","40507.80","139.30","3435.70","","","","","공동주택 및 부대복리시설","60.00","212.78","84","15","","956","406","466","84","121","48","36","37","","/servlet/image?url=images/assc/2024/06/202406101340381717994438575.jpg","","","서울특별시 양천구 신월로 263, 2층 203호 (신월동, 로즈가든)","02-2605-9100"
"11410-900000078","서대문구","북가좌동","재개발(주택정비형)","조합","가재울뉴타운7구역주택재개발정비사업조합","북가좌동 73-1","조합설립인가","운영","704","가재울7재정비촉진구역 주택재개발정비사업조합","서대문구 북가좌2동 73-1번지","79696.00","237137.06","제2종 일반주거지역","재정비촉진지구","57799.00","6767.00","5549.00","1043.00","0.00","7438.00","1100.00","공동주택 및 부대복리시설","20.52","254.91","736","29","3","1350","405","631","314","224","108","95","21","임대224세대","/servlet/image?url=images/assc/2017/09/201709261320071506399607586.jpg","/servlet/image?url=images/assc/2022/08/202208171540571660718457773.png","/servlet/image?url=images/assc/2023/04/202304190855521681862152328.jpg","서울특별시 서대문구 응암로 87, 삼진빌딩 4층 (북가좌동)","02-303-6737"
"11530-900001080","구로구","고척동","재개발(주택정비형)","추진위원회","고척산업용품상가 시장정비사업","고척동 103-4","조합설립추진위원회승인","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11590-900001079","동작구","상도동","소규모재건축","조합","대광연립 소규모주택재건축정비사업","상도동 211-447","관리처분인가","운영","42","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","서울특별시 동작구 양녕로 180, 201호 (상도동)","010-5414-8582"
"11560-900001033","영등포구","양평동","가로주택정비","조합","양평유성 가로주택정비사업","양평동6가 84","조합설립인가","운영","0","양평유성 가로주택정비사업","영등포구 양평동6가 84-0","3136.54","12277.51","제2종일반주거지역","공동주택용지","","","","","","","","공동주택용지","36.16","248.78","46","15","2","0","","","","0","","","","","","","","서울특별시 영등포구 양평로30나길 9, 일원 (양평동6가, 유성빌라)","02-6238-1750"
"11560-900001031","영등포구","신길동","재개발(도시정비형)","공공지원자","(가칭)대방역세권 도시환경정비사업 개발촉진위원회","신길동 1358","정비계획 수립","운영","197","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11560-900001030","영등포구","신길동","재개발(도시정비형)","공공지원자","신길동96-24역세권 장기전세주택사업(도시정비형 재개발)","신길동 96-24","정비계획 수립","운영","88","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11560-900001029","영등포구","대림동","재개발(도시정비형)","공공지원자","대림역세권 장기전세주택사업(도시정비형 재개발)","대림동 807-13","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11305-900001002","강북구","미아동","재개발(도시정비형)","조합","미아중심재정비촉진지구 강북3 재정비촉진구역","미아동 45-32","사업시행인가","운영","199","강북3도시정비형재개발정비사업","강북구 미아동 45-32","24348.90","178256.55","공동주택근린생활시설판매시설","미아중심재정비촉진지구준주거지역부설주차장 설치제구역","21240.30","3108.60","0.00","0.00","0.00","0.00","","주거판매","34.98","499.26","130","37","5","681","96","565","20","239","46","","193","","/servlet/image?url=images/assc/2023/07/202307101617031688973423643.png","/servlet/image/assc/2024/11/202411121131201731378680504.png","/servlet/image/assc/2024/11/202411121140501731379250392.jpg","서울특별시 강북구 도봉로 30, 2층 (미아동)","02-987-8285"
"11500-100002001","강서구","마곡동","재건축","조합","신안빌라주택재건축정비사업조합설립추진위원회 및 예비사업시행자(한국토지신탁)","마곡동 327-53","사업시행인가","운영","232","신안빌라 주택재건축정비사업","강서구 마곡동 327-53번지","16400.10","69401.38","제3종일반주거지역","최고고도지구","14888.26","23.00","991.84","","","","497.00","공동주택(아파트)","28.31","261.25","","15","3","374","133","223","18","12","","","12","","/servlet/image/assc/2012/03/201203021412441330665164857.jpg","/servlet/image?url=images/assc/2016/06/201606071346481465274808558.jpg","/servlet/image?url=images/assc/2016/06/201606071346501465274810241.jpg","서울특별시 강서구 방화대로34길 120, 2동 105호 (마곡동, 신안빌라)","02-2659-2688"
"11410-900000885","서대문구","홍은동","가로주택정비","조합","홍은동322-1일원 가로주택정비사업","홍은동 322-1","사업시행인가","운영","91","홍은동322-1일원 가로주택정비사업","서대문구 홍은동 322-1","7448.00","23170.67","도시지역","제2종 일반주거지역(7층이하)","","","","","","","","","44.74","217.54","","7","3","152","56","96","","0","","","","","/servlet/image?url=images/assc/2022/01/202201131615141642058114215.jpg","/servlet/image?url=images/assc/2024/08/202408061549221722926962955.png","/servlet/image?url=images/assc/2024/08/202408061548481722926928530.png","서울특별시 서대문구 가좌로2안길 60, 1층 (202호) (홍은동)","02-6956-3890"
"11560-900000841","영등포구","문래동","재건축","추진위원회","문래국화아파트 주택재건축정비사업","문래동3가 76-1","조합설립추진위원회승인","운영","0","문래국화아파트 주택재건축정비사업","영등포구 문래동3가 76-1","17794.60","","준공업지역","","17034.60","260.00","","","","","500.00","공동주택 및 부대복리시설","60.00","250.00","100","29","","324","40","148","136","30","","","30","","/servlet/image?url=images/assc/2021/10/202110151740021634287202574.png","","/servlet/image?url=images/assc/2023/05/202305091313371683605617365.dwg","서울특별시 영등포구 도림로 485, 2층 (문래동4가)","02-2671-2003"
"11410-100008007","서대문구","북아현동","재개발(주택정비형)","조합","북아현 3 재정비촉진구역 주택재개발 정비사업조합","북아현동 3-66","사업시행인가","운영","2536","북아현3 재정비촉진구역 주택재개발 정비사업조합","서대문구 북아현동 3-66번지","263100.00","619750.57","제2종일반주거지역","도시재정비촉진지구","180952.60","33481.60","36611.10","10.00","7476.00","139.00","4444.00","공공주택 및 부대복리시설","16.28","233.15","103","35","6","3015","534","1831","650","618","273","265","80","","/servlet/image/assc/2010/08/201008111105381281492338675.jpg","/servlet/image/assc/2019/09/201909051325211567657521258.jpg","/servlet/image/assc/2019/09/201909051327451567657665102.jpg","2층","02-363-9205"
"11650-900000572","서초구","방배동","재건축","조합","방배14구역 주택재건축정비사업조합","방배동 975-35","철거신고","운영","245","방배 14구역주택재건축 정비구역","특별시 서초구 방배동 975-35","27460.00","69106.81","제 1종 일반 주거지역 제 2종 일반 주거지역(7층)","일반 미관 지구","27460.00","2969.00","2068.00","","","","","공동주택 및 부대복리시설","43.45","205.85","40","12","2","435","202","152","81","17","","","17","","/servlet/image/assc/2015/05/201505131554371431500077035.jpg","/servlet/image/assc/2018/05/201805231129051527042545905.jpg","/servlet/image?url=images/assc/2015/12/201512171225141450322714609.jpg","서울특별시 서초구 방배중앙로 20, 광성빌딩5층 (방배동)","02-585-9929"
"11560-900001052","영등포구","신길동","재개발(도시정비형)","공공지원자","신길2구역 도심공공주택복합사업","신길동 205-136","정비구역지정","운영","527","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11560-900001051","영등포구","신길동","재개발(도시정비형)","공공지원자","신길1재정비촉진구역 도시환경정비사업","신길동 147-80","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11560-900001016","영등포구","여의도동","재건축","조합","여의도 대교아파트 재건축정비사업","여의도동 41","조합설립인가","운영","563","여의도 대교아파트 재건축정비사업","영등포구 여의도동 41-0","33418.00","222972.19","제3종일반주거지역","아파트지구","26869.50","5333.80","","","","","1214.60","공동주택 및 부대복리시설 근린생활시설 공공시설","29.37","469.98","180","49","","772","63","344","365","150","","","150","","/servlet/image?url=images/assc/2024/03/202403111410381710133838960.png","/servlet/image?url=images/assc/2023/10/202310041446561696398416685.jpg","/servlet/image?url=images/assc/2023/10/202310041446571696398417402.jpg","서울특별시 영등포구 여의대방로 379, 제일빌딩 711호 (여의도동)","02-785-1235"
"11530-900001023","구로구","가리봉동","재개발(주택정비형)","공공지원자","가리봉2구역  주택재개발정비사업","가리봉동 87-177","정비계획 수립","운영","0","가리봉2구역  주택재개발저비사업","구로구 가리봉동 87-177","40552.00","196251.99","제2종일반주거지역(7층 이하) 제2종일반주거지역","해당없음","35184.00","1828.00","3540.00","0.00","0.00","0.00","0.00","공동주택/부대복리시설","39.48","347.37","95","33","5","0","","","","0","","","","","/servlet/image?url=images/assc/2023/05/202305021135181682994918352.png","/servlet/image?url=images/assc/2023/07/202307101139281688956768278.jpg","/servlet/image?url=images/assc/2023/07/202307101139291688956769427.pdf","",""
"11260-900001003","중랑구","면목동","재개발(주택정비형)","공공지원자","(임시)면목동69-14일대 주택재개발사업","면목동 69-14","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11290-900000839","성북구","석관동","가로주택정비","조합","석관1-3구역 가로주택정비사업 조합","석관동 261-98","조합설립인가","운영","152","석관1-3구역 가로주택정비사업","성북구 석관동 261-98","8486.00","23626.33","제2종일반주거지역","","","","","","","","","","31.65","186.60","0","7","2","210","196","14","","0","","","","","/servlet/image?url=images/assc/2022/04/202204211730171650529817448.png","","","서울특별시 성북구 돌곶이로22길 10, 201호 (석관동)","02-966-9321"
"11440-900001076","마포구","공덕동","재개발(주택정비형)","공공지원자","공덕동 11-24 주택정비형 재개발사업","공덕동 11-24","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11500-900000960","강서구","화곡동","소규모재건축","조합","대근연립소규모재건축사업조합","화곡동 73-105","조합설립인가","운영","60","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11230-900000092","동대문구","전농동","재개발(주택정비형)","조합","전농제12구역 재개발정비사업조합","전농동 643","조합설립인가","운영","146","전농12주택재개발정비구역","동대문구 전농동 643번지","16237.00","53075.09","제3종일반주거지역","","13791.70","834.10","815.00","","","","796.20","공동주택","50.00","2.40","","","30","246","53","143","50","51","22","21","8","","/servlet/image?url=images/assc/2020/02/202002131707391581581259077.jpg","/servlet/image/assc/2011/03/201103091753311299660811607.jpg","/servlet/image/assc/2011/03/201103091753311299660811919.jpg","서울특별시 동대문구 답십리로 48-6, 1층 (전농동)","02-2215-2213"
"11260-900001162","중랑구","상봉동","재개발(도시정비형)","추진위원회","상봉10재정비촉진구역 도시정비형 재개발사업","상봉동 50-1","조합설립추진위원회승인","운영","122","상봉10재정비촉진구역 도시정비형 재개발사업","중랑구 상봉동 50-1","12008.60","75911.10","도시지역 / 준주거지역","재정비촉진지구","10384.30","724.30","","","900.00","","","주거/판매/근생","31.11","499.99","40","40","3","382","200","182","","116","36","","80","","/servlet/image?url=images/assc/2024/03/202403061821031709716863595.png","/servlet/image?url=images/assc/2024/03/202403111105041710122704938.jpg","/servlet/image?url=images/assc/2024/03/202403061943511709721831163.jpg","서울특별시 중랑구 망우로55길 39, 금강연립 B동, 106호 (상봉동)","02-496-3007"
"11260-900001183","중랑구","망우동","재개발(주택정비형)","공공지원자","(임시)망우동 461일대 민간재개발사업","망우동 461","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11740-900001152","강동구","천호동","재개발(주택정비형)","추진위원회","천호동 532-2번지 재개발사업","천호동 532-2","조합설립추진위원회승인","운영","0","천호동532-2번지 주택정비형 재개발사업","강동구 천호동 532-2","24620.00","55101.31","제2종일반주거지역","","24000.00","20.00","","","","","600.00","아마트 및 부대복리시설","26.02","229.59","","2","24","431","260","171","","77","24","33","20","","/servlet/image?url=images/assc/2024/08/202408121118561723429136521.jpg","","","서울특별시 강동구 진황도로 17-1, 3층 (천호동)","010-8720-3533"
"11560-900000950","영등포구","신길동","지역주택","조합","(가칭)신길지역주택조합 추진위원회","신길동 442-2","조합설립인가","운영","0","지역주택조합","영등포구 신길동 442-2","51342.00","163631.83","제2종 일반주거지역","","51342.00","4053.80","3386.90","","770.80","","","공동주택및부대복리시설","19.17","249.79","86","29","2","1091","775","316","","0","","","","","/servlet/image?url=images/assc/2024/05/202405021025031714613103617.jpg","/servlet/image?url=images/assc/2024/05/202405081702481715155368709.jpg","/servlet/image?url=images/assc/2024/05/202405081702511715155371128.jpg","서울특별시 영등포구 도림로 228, 2층 (신길동)","02-842-2353"
"11500-900000853","강서구","등촌동","지역주택","조합","(가칭)등촌동지역주택조합","등촌동 365","조합설립인가","운영","0","(가칭)등촌지역주택조합","강서구 등촌동 365-0","45424.70","134680.00","서울 강서구 등촌동 365","등촌 지역주택조합","41320.20","","","","","","4104.50","","20.25","210.76","112","20","2","895","196","699","","90","","90","","","/servlet/image?url=images/assc/2022/03/202203111659061646985546782.png","/servlet/image?url=images/assc/2023/11/202311161045151700099115374.jpg","/servlet/image?url=images/assc/2023/11/202311161045151700099115592.jpg","서울특별시 강서구 공항대로58다길 34, 201호 (등촌동)","02-2653-8850"
"11500-900000852","강서구","화곡동","지역주택","조합","(가칭)화곡1지역주택조합","화곡동 424-63","조합설립인가","운영","0","지역주택조합","강서구 화곡동 424-63","42647.10","117261.21","2종일반주거지역(7층이하)","중요시설물보호지구","42647.10","367.00","10880.00","","","","1173.10","공동주택","28.71","185.71","","15","2","751","579","172","","89","","89","","","/servlet/image?url=images/assc/2023/04/202304051510451680675045817.png","/servlet/image?url=images/assc/2021/12/202112101126111639103171851.jpg","/servlet/image?url=images/assc/2021/12/202112101117001639102620383.jpg","서울특별시 강서구 곰달래로17길 22-3, 1층 (화곡동)","02-2692-0002"
"11500-900000851","강서구","화곡동","지역주택","조합","(가칭)화곡6동지역주택조합","화곡동 1133-7","조합설립인가","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","서울특별시 강서구 까치산로 163, 201호 (화곡동)","02-6081-6641"
"11590-900001204","동작구","노량진동","가로주택정비","조합","노량진역 은하맨션 일대 가로주택정비사업 조합","노량진동 84-24","조합설립인가","운영","105","노량진역 은하맨션 일대 가로주택정비사업","동작구 노량진동 84-24","8987.00","21711.30","","","","","","","","","","주거","33.06","273.34","","22","4","175","49","126","","23","","13","10","","/servlet/image?url=images/assc/2024/05/202405301445561717047956881.jpg","","","서울특별시 동작구 장승배기로30길 5, 6층 (노량진동)","02-815-0881"
"11260-900000842","중랑구","면목동","지역주택","조합","(가칭)용마산역세권지역주택조합","면목동 371-134","조합설립인가","운영","144","(가칭)용마산역세권지역주택조합","중랑구 면목동 371-134","7800.00","54953.59","준주거지역 조망가로미관지구","공동주택(아파트) 판매시설 등","4510.86","1196.20","216.20","1858.49","290.50","","","공동주택 판매시설","58.52","399.91","8277","25","4","258","212","46","","156","156","","","대지면적통합","/servlet/image?url=images/assc/2021/11/202111221733151637569995388.jpg","/servlet/image?url=images/assc/2021/11/202111221733151637569995486.jpg","/servlet/image?url=images/assc/2021/11/202111221733151637569995597.jpg","서울특별시 중랑구 면목로 260, 2층 (면목동)","02-439-3820"
"11305-900001243","강북구","미아동","재개발(주택정비형)","공공지원자","미아동 258번지 일대 주택정비형 재개발사업","미아동 258","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11305-900001242","강북구","번동","재개발(주택정비형)","공공지원자","번동 148번지 일대 주택정비형 재개발사업","번동 148","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11560-900001018","영등포구","당산동","재개발(주택정비형)","공공지원자","당산동6가 주택재개발사업","당산동6가 104","정비계획 수립","운영","0","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
"11260-900000969","중랑구","면목동","가로주택정비","조합","면목역 3의1구역 가로주택정비사업조합","면목동 152-1","조합설립인가","운영","122","면목역 3의1구역 가로주택정비사업조합","중랑구 면목동 152-1","7434.70","25924.68","도시지역","제2종일반주거지역(7층이하)","","","","","","","","공동주택(아파트) 및 부대복리시설","33.90","224.23","","10","2","165","17","148","","20","","20","","","/servlet/image?url=images/assc/2022/12/202212091812281670577148786.png","/servlet/image?url=images/assc/2022/12/202212091812291670577149240.jpg","/servlet/image?url=images/assc/2022/12/202212091812291670577149433.jpg","서울특별시 중랑구 면목로 431, 702호 (면목동)","02-434-2260"
"11680-900000566","강남구","대치동","재건축","조합","대치쌍용1차아파트 주택재건축정비사업조합","대치동 66-","사업시행인가","운영","699","대치쌍용1차아파트 재건축정비사업","강남구 대치동 66번지 ","47659.00","224804.17","제3종 일반주거지역","중심지미관지구","43569.00","792.00","2900.00","","","","398.00","공동주택및 부대복리시설","16.96","299.90","110","35","3","867","91","377","399","132","","","132","","/servlet/image?url=images/assc/2015/12/201512171029591450315799664.gif","/servlet/image/assc/2018/10/201810161400571539666057761.jpg","/servlet/image/assc/2018/10/201810161418431539667123266.jpg","5동 2계단 지하1층","02-501-0783"
"11650-900000901","서초구","서초동","지역주택","조합","삼성홈스테이 지역주택조합","서초동 1478-12","조합설립인가","운영","1","서초동 삼성홈스테이 지역주택조합","서초구 서초동 1478-12","1708.20","7558.03","도시지역","제2종일반주거지역(7층이하)","","","","","","","","공동주택(아파트)","47.71","198.34","25","7","3","49","40","9","","0","","","","","/servlet/image?url=images/assc/2022/07/202207191104071658196247321.jpg","/servlet/image?url=images/assc/2022/07/202207181406051658120765380.jpg","/servlet/image?url=images/assc/2022/07/202207181404181658120658100.jpg","서울특별시 서초구 명달로8길 25-20, 지층, 103호 후연재 (서초동)","070-4171-6807"
"11350-900001116","노원구","상계동","가로주택정비","조합","오성빌라 가로주택정비사업 조합","상계동 322-8","조합설립인가","운영","73","오성빌라 가로주택정비사업","노원구 상계동 322-8","4353.00","15721.17","제2종일반주거지역(7층이하)","-","4115.13","237.87","","","","","","공동주택 및 부대복리시설","32.99","223.78","38","13","2","92","67","25","","11","","9","2","","/servlet/image?url=images/assc/2023/10/202310251146041698201964553.png","/servlet/image?url=images/assc/2023/10/202310251135451698201345769.jpg","/servlet/image?url=images/assc/2023/10/202310251138161698201496007.jpg","서울특별시 노원구 상계로26길 14, 3층 (상계동)","02-938-0901"
"11170-900000972","용산구","갈월동","재개발(도시정비형)","조합","남영동 업무지구 제2구역 도시정비형 재개발사업 조합","갈월동 92","조합설립인가","운영","99","남영동 업무지구 제2구역 도시정비형 재개발사업","용산구 갈월동 92-0","17658.80","178995.00","일반상업지역도시환경정비구역","철도보호지구","17658.80","200.20","","","2493.20","","","주거","59.50","859.00","120","34","6","456","89","254","113","109","29","24","56","부대시설 포함","/servlet/image?url=images/assc/2022/12/202212071129471670380187270.jpg","/servlet/image?url=images/assc/2022/12/202212071129481670380188211.jpg","/servlet/image?url=images/assc/2022/12/202212071129501670380190154.jpg","서울특별시 용산구 한강대로81길 12, 1층 (갈월동)","02-3273-1230"
"11290-900001228","성북구","장위동","재개발(주택정비형)","조합","장위9구역 공공재개발사업","장위동 238-83","조합설립인가","운영","0","장위9구역 공공재개발사업","성북구 장위동 238-83","84248.00","","제2종일반주거지역 제2종일반주거지역(7층)","","72355.70","3102.30","6690.00","","","","2100.00","공동주택(아파트) 및 부대복리시설","21.38","299.99","150","3","38","1467","641","766","60","763","112","450","201","","/servlet/image?url=images/assc/2024/08/202408141516441723616204358.png","/servlet/image?url=images/assc/2024/08/202408201358401724129920508.jpg","/servlet/image?url=images/assc/2024/08/202408201358401724129920648.jpg","서울특별시 성북구 장위로33길 31, 장위9구역 공공재개발 정비사업 주민대표회의 사무실 (장위동)","02-6408-0111"
"11530-900001078","구로구","고척동","재건축","조합","고척동 한효아파트 재건축정비사업","고척동 52-332","조합설립인가","운영","329","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","","","","","",""
